,ID Number COSPAR,Satellite Name,Country of Operator/Owner,Operator/Owner,Country of Contractor,Contractor,Users,Purpose,Detailed Purpose,Class of Orbit,Type of Orbit,Period (minutes),Expected Lifetime (yrs.),Launch Mass (kg.),Dry Mass (kg.),Power (watts),Launch Site,Launch Vehicle,Launch Year,Launch Month
90,2013-066K,AprizeSat 8 (exactView-12),Multinational,"Aprize Satellite, Argentina",USA,SpaceQuest,Commercial,Communications/Maritime Tracking,Automatic Identification System (AIS),LEO,Sun-Synchronous,97.99,4.0,12.0,12,nan,Dombarovsky Air Base,Dnepr,2013,11
91,2014-033J,AprizeSat 9 (exactView-11),USA,"Aprize Satellite, Argentina",USA,SpaceQuest,Commercial,Communications/Maritime Tracking,Automatic Identification System (AIS),LEO,Sun-Synchronous,98.0,4.0,12.0,12,nan,Dombarovsky Air Base,Dnepr,2014,6
92,2018-041A,Apstar 6C,China,APT Satellite Holdings Ltd.,China,China Academy of Space Technology (CAST),Commercial,Communications,nan,GEO,nan,1436.1,15.0,4083.0,nan,nan,Xichang Satellite Launch Center,Long March 3B,2018,5
93,2020-045A,Apstar 6D,China,APT Satellite Holdings Ltd.,China,China Academy of Space Technology (CAST),Commercial,Communications,nan,GEO,nan,1438.5,15.0,5550.0,nan,nan,Xichang Satellite Launch Center,Long March 3B,2020,7
94,2023-005A,Apstar 6E,China,APT Satellite Holdings Ltd.,China,China Academy of Space Technology (CAST),Commercial,Communications,nan,GEO,nan,1436.0,15.0,4300.0,2090,nan,Xichang Satellite Launch Center,Long March 3B,2023,1
95,2012-013A,Apstar 7,China,APT Satellite Holdings Ltd.,Multinational,Thales Alenia Space,Commercial,Communications,nan,GEO,nan,1440.31,15.0,5054.0,nan,nan,Xichang Satellite Launch Center,Long March 3B,2012,3
96,2015-059A,Apstar 9,China,APT Satellite Holdings Ltd.,China,China Academy of Space Technology (CAST),Commercial,Communications,nan,GEO,nan,1436.01,15.0,5200.0,nan,10500,Xichang Satellite Launch Center,Long March 3B,2015,10
97,2011-049B,Arabsat 5C,Multinational,Arab Satellite Communications Org. (ASCO),France,Astrium/Thales Alenia Space,Government,Communications,nan,GEO,nan,1436.06,15.0,4630.0,nan,nan,Guiana Space Center,Ariane 5 ECA,2011,9
98,2019-021A,Arabsat 6A,Multinational,Arab Satellite Communications Org. (ASCO),USA,Lockheed Martin,Commercial,Communications,nan,GEO,nan,1436.0,15.0,6465.0,nan,20000,Cape Canaveral,Falcon Heavy,2019,4
99,2021-006BZ,ARCE 1A (Articulated Reconnaissance and Communications Expedition-1),USA,"University of South Florida, Institute of Applied Engineering (IAE).",USA,"South Florida University, Institute of Applied Engineering (IAE)",Civil,Technology Development,nan,LEO,Sun-Synchronous,95.2,4.0,1.0,nan,nan,Cape Canaveral,Falcon 9/Sherpa FX,2021,1
